French,English,date
cela,that,2023-01-08
fille,daughter,2023-01-22
autre,other,2023-01-15
un,a,2023-01-12
a,has,2023-01-05
tes,your,2023-01-19
au,to,2023-01-30
dans,in,2023-01-22
toute,all,2023-01-29
besoin,need,2023-01-03
plus,more,2023-01-05
quelque,some,2023-01-02
bonjour,hello,2023-01-05
vois,see,2023-01-01
mieux,better,2023-01-06
reste,rest,2023-01-05
fait,do,2023-01-10
les,them,2023-01-04
merde,shit,2023-01-11
oui,yes,2023-01-25
maison,home,2023-01-16
jamais,never,2023-01-02
nuit,night,2023-01-19
dire,say,2023-01-07
soir,evening,2023-01-26
alors,then,2023-01-26
ne,not,2023-01-17
homme,male,2023-01-06
et,and,2023-01-01
encore,again,2023-01-22
parce,by,2023-01-17
nom,name,2023-01-19
on,we,2023-01-31
sa,her,2023-01-31
comme,as,2023-01-06
dois,must,2023-01-01
monsieur,sir,2023-01-28
je,I,2023-01-28
accord,deal,2023-01-27
allez,go,2023-01-27
arrive,arrived,2023-01-01
avez,have,2023-01-29
leur,their,2023-01-06
bien,Well,2023-01-24
argent,money,2023-01-11
voir,see,2023-01-08
mal,wrong,2023-01-31
son,his,2023-01-12
qui,who,2023-01-12
ton,your,2023-01-17
peut,can,2023-01-22
le,the,2023-01-29
vais,go,2023-01-07
fois,time,2023-01-16
si,if,2023-01-28
monde,world,2023-01-25
aussi,Also,2023-01-09
du,from,2023-01-02
sur,on,2023-01-05
dis,say,2023-01-15
tous,all,2023-01-05
suis,am,2023-01-29
dieu,god,2023-01-08
juste,just,2023-01-12
tout,everything,2023-01-20
depuis,since,2023-01-03
vite,quickly,2023-01-09
cette,this,2023-01-24
pas,not,2023-01-25
vraiment,really,2023-01-06
avait,had,2023-01-28
en,in,2023-01-06
la,the,2023-01-03
moi,me,2023-01-20
vous,you,2023-01-13
veux,want,2023-01-29
mes,my,2023-01-29
autres,others,2023-01-21
ta,your,2023-01-20
femme,women,2023-01-26
veut,wants,2023-01-05
sont,are,2023-01-23
nous,we,2023-01-15
vie,life,2023-01-26
il,he,2023-01-01
personne,person,2023-01-29
temps,time,2023-01-24
avant,before,2023-01-17
peur,fear,2023-01-15
peu,little,2023-01-15
mais,but,2023-01-21
ans,year,2023-01-02
ont,have,2023-01-03
ai,have,2023-01-23
ces,these,2023-01-05
viens,come,2023-01-31
petit,small,2023-01-20
de,of,2023-01-30
vu,seen,2023-01-14
prendre,take,2023-01-01
nom,name,2023-01-12
la,the,2023-01-06
fais,do,2023-01-16
maintenant,now,2023-01-13
cet,this,2023-01-06
fait,do,2023-01-30
vite,quickly,2023-01-06
sur,on,2023-01-17
en,in,2023-01-30
te,you,2023-01-05
avais,had,2023-01-18
quand,when,2023-01-22
dois,must,2023-01-13
aime,love,2023-01-20
seul,Alone,2023-01-29
un,a,2023-01-12
autre,other,2023-01-20
ne,not,2023-01-29
mieux,better,2023-01-22
parce,by,2023-01-28
quel,what,2023-01-24
faut,should,2023-01-05
mal,wrong,2023-01-13
quoi,what,2023-01-24
besoin,need,2023-01-25
de,of,2023-01-03
et,and,2023-01-05
doit,must,2023-01-07
si,if,2023-01-11
soir,evening,2023-01-03
vois,see,2023-01-01
notre,our,2023-01-14
bien,Well,2023-01-21
dis,say,2023-01-06
bonjour,hello,2023-01-10
que,that,2023-01-07
leur,their,2023-01-30
non,Nope,2023-01-29
par,by,2023-01-07
crois,believe,2023-01-04
trop,too,2023-01-23
peur,fear,2023-01-18
pour,to,2023-01-17
temps,time,2023-01-31
aller,go,2023-01-03
lui,him,2023-01-22
sais,know,2023-01-26
ces,these,2023-01-28
pas,not,2023-01-12
avant,before,2023-01-16
dit,said,2023-01-17
du,from,2023-01-30
monde,world,2023-01-28
a,has,2023-01-30
avez,have,2023-01-28
avons,have,2023-01-01
ta,your,2023-01-04
elle,she,2023-01-20
vie,life,2023-01-27
femme,women,2023-01-14
comme,as,2023-01-01
il,he,2023-01-25
vous,you,2023-01-23
ses,his,2023-01-18
avait,had,2023-01-05
depuis,since,2023-01-08
dieu,god,2023-01-01
chose,thing,2023-01-29
jamais,never,2023-01-24
papa,dad,2023-01-01
alors,then,2023-01-09
oui,yes,2023-01-26
ont,have,2023-01-16
prendre,take,2023-01-15
donc,So,2023-01-30
tu,you,2023-01-26
merde,shit,2023-01-09
mais,but,2023-01-21
jour,day,2023-01-30
rien,nothing,2023-01-09
ou,Where,2023-01-28
ai,have,2023-01-31
peut,can,2023-01-18
veux,want,2023-01-03
monsieur,sir,2023-01-20
dire,say,2023-01-13
sans,without,2023-01-20
suis,am,2023-01-05
mort,dead,2023-01-20
quelque,some,2023-01-31
argent,money,2023-01-03
peu,little,2023-01-28
nuit,night,2023-01-23
juste,just,2023-01-22
bonne,good,2023-01-11
tes,your,2023-01-12
le,the,2023-01-17
vraiment,really,2023-01-03
nos,our,2023-01-01
va,goes,2023-01-10
tout,everything,2023-01-24
les,them,2023-01-04
trop,too,2023-01-08
il,he,2023-01-23
personne,person,2023-01-25
leur,their,2023-01-19
aller,go,2023-01-27
lui,him,2023-01-04
alors,then,2023-01-26
maman,mom,2023-01-14
ca,that,2023-01-19
ai,have,2023-01-26
reste,rest,2023-01-08
vraiment,really,2023-01-16
ces,these,2023-01-12
va,goes,2023-01-31
a,has,2023-01-28
on,we,2023-01-19
besoin,need,2023-01-31
tous,all,2023-01-22
bien,Well,2023-01-31
nous,we,2023-01-25
tes,your,2023-01-09
fait,do,2023-01-25
ce,this,2023-01-27
aussi,Also,2023-01-04
avait,had,2023-01-12
oui,yes,2023-01-21
aime,love,2023-01-30
mon,my,2023-01-15
qui,who,2023-01-20
peu,little,2023-01-02
fille,daughter,2023-01-11
jour,day,2023-01-28
mal,wrong,2023-01-29
un,a,2023-01-09
prendre,take,2023-01-18
bonjour,hello,2023-01-11
et,and,2023-01-23
sans,without,2023-01-05
fois,time,2023-01-05
temps,time,2023-01-15
pour,to,2023-01-24
jamais,never,2023-01-11
plus,more,2023-01-15
vos,your,2023-01-11
avec,with,2023-01-09
peut,can,2023-01-14
ta,your,2023-01-09
pense,thought,2023-01-22
que,that,2023-01-09
faut,should,2023-01-10
une,a,2023-01-12
vous,you,2023-01-23
te,you,2023-01-25
le,the,2023-01-19
non,Nope,2023-01-04
voir,see,2023-01-30
ont,have,2023-01-26
salut,Hi,2023-01-10
ma,my,2023-01-07
quoi,what,2023-01-16
papa,dad,2023-01-07
peux,can,2023-01-09
comme,as,2023-01-13
nos,our,2023-01-25
cela,that,2023-01-02
de,of,2023-01-07
sont,are,2023-01-23
argent,money,2023-01-20
nom,name,2023-01-11
en,in,2023-01-15
femme,women,2023-01-17
sur,on,2023-01-10
mes,my,2023-01-28
ne,not,2023-01-12
merde,shit,2023-01-04
sa,her,2023-01-25
vite,quickly,2023-01-31
vais,go,2023-01-19
au,to,2023-01-12
dans,in,2023-01-09
ils,they,2023-01-02
ou,Where,2023-01-06
homme,male,2023-01-02
mais,but,2023-01-19
dieu,god,2023-01-03
beaucoup,many,2023-01-31
est,is,2023-01-31
monsieur,sir,2023-01-13
veut,wants,2023-01-22
chose,thing,2023-01-18
avez,have,2023-01-29
juste,just,2023-01-09
mort,dead,2023-01-09
vois,see,2023-01-04
vas,go,2023-01-13
encore,again,2023-01-10
moi,me,2023-01-28
dit,said,2023-01-13